,STARTDATE,ELAPSED,USERID,EVENTID,EVENT_DESC,WORKSPACEID,WS_DESC,TRANSACTIONTYPE,CORE_ID,HR_ORGANIZATION,LOCATION,USER_ROLE,MAG_CODE,ELAPSED_normalized,score
53,2019-03-05 16:37:05,108.247,245567140,x84sljJzv,Team Allocation, ,Exception,1,NXF51167,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.07707705705392487,5.0770810943
106,2019-03-06 10:15:11,15.367,8922889,x84sljJzv,Team Allocation, ,Exception,0,ATP02221,HPMS.CBS,DE-HBG02,_PM+RM,RD4,0.010723820369043445,2.8376801201
131,2019-03-06 14:57:28,15.002,7631748,x84sljJzv,Team Allocation, ,Exception,1,NLV03630,HPMS.AAA,NL-NYM01-s1,_PMO+RM,R16,0.010463065293785245,2.8022543363
179,2019-03-07 06:15:01,11.585,63656,x84sljJzv,Team Allocation, ,Exception,1,B33280,T&O.TO-PT,MY-KUL01,_PM+RM,RKN,0.008021969150888606,2.3165827585
200,2019-03-07 08:44:21,13.82,8556645,x84sljJzv,Team Allocation, ,Exception,1,NLV08316,HPMS.IDA,NL-NYM01-s1,_Resource Manager,RA1,0.009618647488428549,2.6559680613
295,2019-03-07 18:05:45,12.865,8925075,x84sljJzv,Team Allocation, ,Exception,1,NXA33775,HPMS.OPS,US-IVN03,_PM+RM,RC9,0.00893639790795846,2.5153626706
310,2019-03-07 20:39:20,51.551,60790,x84sljJzv,Team Allocation, ,Exception,0,RA0857,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.03657357829546194,4.4557619002
312,2019-03-07 20:53:51,17.06,60790,x84sljJzv,Team Allocation, ,Exception,1,RA0857,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.01193329527976162,3.0075520502
355,2019-03-08 08:54:57,13.85,3262040,x84sljJzv,Team Allocation, ,Exception,0,ATP01764,HPMS.STI,AT-GRK01-s1,_Resource Manager,RC9,0.009640079412422373,2.6599902986
523,2019-03-11 07:53:33,12.584,8942571,x84sljJzv,Team Allocation, ,Exception,0,NLV10891,HPMS.AAA,NL-HTC01-s1,_PMO+RM,R16,0.00873565221988297,2.4689981412
632,2019-03-11 13:48:02,18.361,147107305,x84sljJzv,Team Allocation, ,Exception,1,NXF43948,T&O.SSC-GTI,US-AUS01,_PM+RM,RF9,0.012862726383627156,3.1242833476
645,2019-03-11 14:53:33,15.304,8935279,x84sljJzv,Team Allocation, ,Exception,1,NLV05872,HPMS.SIP,NL-NYM01-s1,_PMO+RM,RM5,0.010678813328656413,2.8314394039
731,2019-03-12 09:23:41,29.284,11066945,x84sljJzv,Team Allocation, ,Exception,0,SNEHA_DM,The Support IT.A Support PMO,NXP-REMOTE,_Core Team Support User,,0.020666089909778744,3.8310420536
903,2019-03-13 08:52:26,35.399,60246,x84sljJzv,Team Allocation, ,Exception,1,R62660,HPMS.MICR,CN-BJS01,_PM+RM,RMC,0.02503463041718669,4.0710639656
997,2019-03-13 16:52:17,12.122,8700022,x84sljJzv,Team Allocation, ,Exception,1,NXF09116,HPMS.STI,US-SAN03,_PM+RM,RC9,0.008405600590378069,2.3977988162
1084,2019-03-14 11:31:34,17.361,8794783,x84sljJzv,Team Allocation, ,Exception,1,NLV03607,HPMS.SIP,NL-NYM01-s1,_PM+RM,RM5,0.01214832891716633,3.033516705
1165,2019-03-15 06:13:47,18.321,180977915,x84sljJzv,Team Allocation, ,Exception,1,NXF42918,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.012834150484968724,3.1211498027
1379,2019-03-18 06:08:13,14.904,8557595,x84sljJzv,Team Allocation, ,Exception,1,NXP99374,HPMS.IDA,IN-BLR01-s1,_Resource Manager,RA1,0.010393054342072083,2.7930443815
1442,2019-03-18 09:45:08,11.323,8718323,x84sljJzv,Team Allocation, ,Exception,1,NXP87130,HPMS.STI,AT-GRK01-s1,_PM+RM,RC9,0.00783479701467587,2.2749695574
1605,2019-03-19 11:30:07,11.233,8701075,x84sljJzv,Team Allocation, ,Exception,1,NXP07708,HPMS.SIP,IN-BLR01-s1,_PM+RM,RM5,0.007770501242694394,2.2618232789
1644,2019-03-19 16:01:49,12.236,8952610,x84sljJzv,Team Allocation, ,Exception,1,FRQ04701,HPMS.AAA,FR-TLS02,_PM+RM,RB4,0.008487041901554603,2.415545318
1684,2019-03-20 08:34:36,14.601,10782842,x84sljJzv,Team Allocation, ,Exception,0,NXF28689,HPMS.AMP,IN-NDA02,_PM+RM,RNG,0.010176591909734453,2.7522349125
1734,2019-03-20 16:30:35,13.613,245567140,x84sljJzv,Team Allocation, ,Exception,1,NXF51167,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.009470767212871158,2.630793656
1825,2019-03-21 15:14:34,40.641,7631748,x84sljJzv,Team Allocation, ,Exception,1,NLV03630,HPMS.AAA,NL-NYM01-s1,_PMO+RM,R16,0.028779501936374335,4.2196625577
2174,2019-03-26 12:10:15,16.614,9609652,x84sljJzv,Team Allocation, ,Exception,0,RZEM60,T&O.TO-FO,US-AUS02,_Resource Manager,RAT,0.011614674009720095,2.9672819348
2311,2019-03-27 14:10:07,45.436,8798744,x84sljJzv,Team Allocation, ,Exception,1,NLV15624,T&O.SSC-GTI,NL-NYM01-s1,_PM+RM,RF9,0.032205037788053996,4.3393141271
2346,2019-03-27 23:01:02,11.694,58944,x84sljJzv,Team Allocation, ,Exception,1,RXEM10,"HPMS.Kechichian, Kevork - NXF53803",US-AUS01,_PM+RM,RNG,0.008099838474732836,2.331397417
2394,2019-03-28 12:51:46,12.384,8711508,x84sljJzv,Team Allocation, ,Exception,1,NXP52773,HPMS.CBS,AT-GRK01-s1,_PM+RM,RD4,0.008592772726590803,2.4390889464
2538,2019-03-31 08:15:18,12.398,8556620,x84sljJzv,Team Allocation, ,Exception,1,DEP10304,HPMS.IDA,DE-HBG02,_Resource Manager,RRA,0.008602774291121256,2.4409711718
2550,2019-04-01 05:19:49,23.388,62100,x84sljJzv,Team Allocation, ,Exception,0,B53450,HPMS.STI,IN-BLR01-s1,_PM+RM,RC9,0.016454002447525724,3.5065801042
2869,2019-04-02 15:32:07,17.814,60790,x84sljJzv,Team Allocation, ,Exception,1,RA0857,HPMS.MICR,US-AUS01,_PMO+RM,RMC,0.012471950969473084,3.0755961645
3031,2019-04-04 08:04:20,28.372,7210541,x84sljJzv,Team Allocation, ,Exception,1,DEP15373,HPMS.SEN,DE-HBG02,_PMO+RM,R53,0.020014559420366472,3.7911064092
3057,2019-04-04 09:42:29,18.022,7210743,x84sljJzv,Team Allocation, ,Exception,0,NXP86355,HPMS.RPS,NL-NYM01-s1,_PMO+RM,R77,0.012620545642496935,3.0932457973
3097,2019-04-04 15:18:08,952.667,60111,x84sljJzv,Team Allocation, ,Exception,0,B08502,HPMS.MICR,RO-BUH03,_PM+RM,RMC,0.6803285656827748,5.809007247
