,STARTDATE,ELAPSED,score
160,2019-03-05 14:11:00,0.05347166666666666,2.0923356161
185,2019-03-05 14:36:00,0.11974483333333334,4.3885186914
259,2019-03-05 15:50:00,0.0471735,1.9400141412
274,2019-03-05 16:05:00,0.047483000000000004,1.9463861346
282,2019-03-05 16:13:00,0.043057,1.76533599
486,2019-03-05 19:37:00,0.07852333333333333,3.1350880158
500,2019-03-05 19:51:00,0.05106983333333333,2.0251565931
606,2019-03-05 21:37:00,0.19179349999999998,5.5993564133
641,2019-03-05 22:12:00,0.053004499999999996,2.088987357
1319,2019-03-06 09:30:00,0.081984,3.2079957424
1337,2019-03-06 09:48:00,0.0356455,1.5473924556
1493,2019-03-06 12:24:00,0.049375499999999996,1.9576770359
1596,2019-03-06 14:07:00,0.05731916666666667,2.2257899384
2023,2019-03-06 21:14:00,0.10078266666666667,3.8787656503
2046,2019-03-06 21:37:00,0.06333933333333333,2.4717900248
2058,2019-03-06 21:49:00,0.071903,2.8928241388
2071,2019-03-06 22:02:00,0.08150333333333333,3.2019456858
2191,2019-03-07 00:02:00,0.061822166666666664,2.4244539089
2744,2019-03-07 09:15:00,0.18849316666666668,5.5605786632
3907,2019-03-08 04:38:00,0.1120825,4.2008501709
3924,2019-03-08 04:55:00,0.03778416666666667,1.6622972675
4088,2019-03-08 07:39:00,0.04198533333333333,1.7205262345
4221,2019-03-08 09:52:00,0.0394345,1.7156592528
4371,2019-03-08 12:22:00,0.040626666666666665,1.7066506041
4567,2019-03-08 15:38:00,0.034978666666666665,1.5319305569
4629,2019-03-08 16:40:00,0.040048,1.7026487761
4774,2019-03-08 19:05:00,0.12255616666666666,4.4503536682
4780,2019-03-08 19:11:00,0.1450455,4.8840275822
4822,2019-03-08 19:53:00,0.036649,1.5854349419
4910,2019-03-08 21:21:00,0.043949666666666665,1.787875522
4973,2019-03-08 22:24:00,0.03500416666666667,1.5385425897
5049,2019-03-08 23:40:00,0.046276,1.9384675129
7652,2019-03-10 19:03:00,0.040693999999999994,1.7072257857
8394,2019-03-11 07:25:00,0.456843,7.466012793
8571,2019-03-11 10:22:00,0.07595233333333333,2.9975999377
8994,2019-03-11 17:25:00,0.11696616666666666,4.3301462766
9223,2019-03-11 21:14:00,0.06845449999999999,2.7665682954
10027,2019-03-12 10:38:00,0.05953133333333333,2.3259252314
10112,2019-03-12 12:03:00,0.037064,1.6014625989
10125,2019-03-12 12:16:00,0.04485116666666667,1.8392068276
10271,2019-03-12 14:42:00,0.05654616666666666,2.1833331827
10276,2019-03-12 14:47:00,0.14376250000000002,4.8569510732
11302,2019-03-13 07:53:00,0.05084333333333333,2.0205678183
11423,2019-03-13 09:54:00,0.054330333333333335,2.125608856
11463,2019-03-13 10:34:00,0.0590015,2.3049253258
11658,2019-03-13 13:49:00,0.04428983333333333,1.7973552917
11715,2019-03-13 14:46:00,0.03869616666666666,1.7124321352
11843,2019-03-13 16:54:00,0.07277466666666667,2.9529098029
11844,2019-03-13 16:55:00,0.061898333333333326,2.426975698
11845,2019-03-13 16:56:00,0.052308,2.0686589738
12960,2019-03-14 11:31:00,0.0425025,1.7308417014
13263,2019-03-14 16:34:00,0.037392166666666664,1.6491762721
13563,2019-03-14 21:34:00,0.035110999999999996,1.5377621686
14215,2019-03-15 08:26:00,0.051157,2.027321868
14441,2019-03-15 12:12:00,0.08530416666666667,3.3727314237
14587,2019-03-15 14:38:00,0.16169166666666665,5.1923871884
14836,2019-03-15 18:47:00,0.08333916666666667,3.2696989994
17391,2019-03-17 13:22:00,0.04241233333333333,1.7296792741
18494,2019-03-18 07:45:00,0.035750333333333335,1.5503469431
18600,2019-03-18 09:31:00,0.05371366666666666,2.0933955918
18603,2019-03-18 09:34:00,0.058832,2.2952188581
18605,2019-03-18 09:36:00,0.0678765,2.7184774525
18610,2019-03-18 09:41:00,0.05702283333333333,2.2220938163
18614,2019-03-18 09:45:00,0.092347,3.646923112
18616,2019-03-18 09:47:00,0.11869883333333332,4.3661301666
18721,2019-03-18 11:32:00,0.045992,1.9143691596
18731,2019-03-18 11:42:00,0.0379995,1.6711644673
18795,2019-03-18 12:46:00,0.05002666666666667,1.9795594323
18968,2019-03-18 15:39:00,0.07969766666666667,3.165251519
19010,2019-03-18 16:21:00,0.11887666666666666,4.3699755753
19012,2019-03-18 16:23:00,0.04216,1.728553736
19326,2019-03-18 21:37:00,0.060191,2.3517473714
19355,2019-03-18 22:06:00,0.035582333333333334,1.5475320524
19437,2019-03-18 23:28:00,0.04608983333333333,1.9153694644
19925,2019-03-19 07:36:00,0.075143,2.9913152577
19968,2019-03-19 08:19:00,0.040931166666666664,1.7089724007
20055,2019-03-19 09:46:00,0.03482383333333333,1.5337140229
20370,2019-03-19 15:01:00,0.12737883333333333,4.5562743421
20534,2019-03-19 17:45:00,0.05351266666666667,2.0925168866
20536,2019-03-19 17:47:00,0.08331483333333334,3.2684939354
21016,2019-03-20 01:47:00,0.042091666666666666,1.7276045681
21727,2019-03-20 13:38:00,0.071784,2.8896240309
21728,2019-03-20 13:39:00,0.17770433333333335,5.4107184517
21740,2019-03-20 13:51:00,0.05729383333333333,2.224757122
21904,2019-03-20 16:35:00,0.03537666666666667,1.5362011423
21992,2019-03-20 18:03:00,0.07406416666666667,2.9793510372
22258,2019-03-20 22:29:00,0.046545166666666665,1.9395759872
22292,2019-03-20 23:03:00,0.05396566666666666,2.1219492947
22912,2019-03-21 09:23:00,0.04038116666666667,1.7032342499
24176,2019-03-22 06:27:00,0.136818,4.7374797285
24179,2019-03-22 06:30:00,0.10500499999999999,4.0082798101
24224,2019-03-22 07:15:00,0.045395,1.8581104791
24273,2019-03-22 08:04:00,0.05648016666666666,2.1803957711
24345,2019-03-22 09:16:00,0.10311799999999999,3.9378714033
24539,2019-03-22 12:30:00,0.04968033333333333,1.9655672236
24580,2019-03-22 13:11:00,0.15847666666666665,5.1419449928
24631,2019-03-22 14:02:00,0.15161333333333332,5.0166845725
24680,2019-03-22 14:51:00,0.0489435,1.9452996261
24701,2019-03-22 15:12:00,0.04290633333333333,1.7563828734
24718,2019-03-22 15:29:00,0.139801,4.7935673983
24785,2019-03-22 16:36:00,0.11804216666666667,4.3524029599
24871,2019-03-22 18:02:00,0.0688145,2.7844655777
24881,2019-03-22 18:12:00,0.066743,2.6758776276
24889,2019-03-22 18:20:00,0.07109549999999999,2.8702146898
25350,2019-03-23 02:01:00,0.04480116666666667,1.8432900222
25356,2019-03-23 02:07:00,0.06016866666666666,2.3509514237
25367,2019-03-23 02:18:00,0.050500666666666666,2.0028540988
25789,2019-03-23 09:20:00,0.047808333333333335,1.9539961187
25790,2019-03-23 09:21:00,0.041279833333333335,1.7190421193
28616,2019-03-25 08:27:00,0.040951166666666663,1.7086445875
28619,2019-03-25 08:30:00,0.04341233333333333,1.7758213146
28720,2019-03-25 10:11:00,0.045926666666666664,1.8799249018
28801,2019-03-25 11:32:00,0.061675999999999995,2.4196827287
28829,2019-03-25 12:00:00,0.04016466666666667,1.699649798
28832,2019-03-25 12:03:00,0.06695116666666666,2.6824602319
28977,2019-03-25 14:28:00,0.0375945,1.6588340845
28980,2019-03-25 14:31:00,0.28756533333333334,6.6295578147
28981,2019-03-25 14:32:00,0.09783933333333332,3.789277712
29202,2019-03-25 18:13:00,0.036489,1.5727420193
29511,2019-03-25 23:22:00,0.03719666666666667,1.6474555535
29903,2019-03-26 05:54:00,0.05671816666666667,2.1909450907
29968,2019-03-26 06:59:00,0.03529566666666666,1.5392795059
30365,2019-03-26 13:36:00,0.45353283333333333,7.4563571805
30490,2019-03-26 15:41:00,0.06601816666666666,2.6228782931
30493,2019-03-26 15:44:00,0.08157299999999999,3.2030835332
30516,2019-03-26 16:07:00,0.04913466666666667,1.9512764422
30517,2019-03-26 16:08:00,0.0345775,1.5083258042
30580,2019-03-26 17:11:00,0.12142466666666667,4.4246706008
31262,2019-03-27 04:33:00,1.0,8.2356026084
31514,2019-03-27 08:45:00,0.1625545,5.2060087776
31561,2019-03-27 09:32:00,0.0479715,1.9547542698
31569,2019-03-27 09:40:00,0.04246766666666667,1.7313596858
31886,2019-03-27 14:57:00,0.13517666666666664,4.7073353879
32133,2019-03-27 19:04:00,0.04593116666666666,1.8799705354
32138,2019-03-27 19:09:00,0.04155533333333333,1.7161033206
32152,2019-03-27 19:23:00,0.0367915,1.5952295898
32156,2019-03-27 19:27:00,0.05054616666666666,2.0040427344
32162,2019-03-27 19:33:00,0.06312533333333334,2.4644182359
32328,2019-03-27 22:19:00,0.073444,2.9680092808
32375,2019-03-27 23:06:00,0.07630333333333333,3.0300277805
32388,2019-03-27 23:19:00,0.04416483333333333,1.7972267132
33397,2019-03-28 16:08:00,0.042076166666666664,1.7293606238
33442,2019-03-28 16:53:00,0.10729599999999999,4.0816596713
33755,2019-03-28 22:06:00,0.071066,2.8693463187
34242,2019-03-29 06:13:00,0.18368366666666666,5.4937982699
34499,2019-03-29 10:30:00,0.042057000000000004,1.7289787707
34506,2019-03-29 10:37:00,0.08454199999999999,3.3458494475
34518,2019-03-29 10:49:00,0.09485049999999999,3.7027218882
34541,2019-03-29 11:12:00,0.03886183333333333,1.7136648519
34546,2019-03-29 11:17:00,0.040966333333333334,1.7083464615
34633,2019-03-29 12:44:00,0.03844616666666666,1.6894871622
36156,2019-03-30 14:07:00,0.03731483333333333,1.649347812
38368,2019-04-01 02:59:00,0.10531916666666666,4.0353722578
38607,2019-04-01 06:58:00,0.036348,1.5549412561
38614,2019-04-01 07:05:00,0.040203166666666665,1.6995186146
38615,2019-04-01 07:06:00,0.043450499999999996,1.7769076912
38616,2019-04-01 07:07:00,0.057237833333333335,2.2292360182
