,STARTDATE,ELAPSED,ELAPSED_normalized,score
4,2019-03-05 11:33:21,13.951,0.009729404730941629,2.3970018427
88,2019-03-05 11:44:26,14.824,0.01031916798119243,2.5257677294
104,2019-03-05 11:47:45,53.564,0.03649033443562089,4.7435091866
211,2019-03-05 12:02:46,39.668,0.027102762699669988,4.3206325997
285,2019-03-05 12:12:26,18.99,0.013133547935997513,3.0101800242
332,2019-03-05 12:21:08,13.529,0.009444318715356476,2.3390586405
388,2019-03-05 12:35:59,12.01,0.008418144171105655,2.1435467554
401,2019-03-05 12:37:30,12.019,0.008424224204613395,2.1445879423
403,2019-03-05 12:37:33,23.838,0.016408659318833577,3.4367572512
425,2019-03-05 12:39:29,12.899,0.00901871636981466,2.2539682466
497,2019-03-05 12:49:00,171.975,0.11648398417840168,5.8524363021
505,2019-03-05 12:50:16,16.794,0.0116500197601089,2.7628624669
534,2019-03-05 12:53:09,16.352,0.011351422558950991,2.7108215101
543,2019-03-05 12:53:55,11.389,0.007998621859071579,2.0545093159
611,2019-03-05 12:58:58,40.792,0.027862091328858876,4.3612010164
687,2019-03-05 13:08:38,11.353,0.007974301725040617,2.0489871709
896,2019-03-05 13:30:12,12.875,0.009002502947127353,2.2513479349
1051,2019-03-05 13:46:38,12.104,0.008481646743297606,2.1561969175
1116,2019-03-05 13:58:14,33.497,0.022933886391196107,4.0501838044
1121,2019-03-05 14:00:23,19.691,0.013607114990322612,3.0858390968
1229,2019-03-05 14:11:36,312.098,0.21114537697896646,6.1662467383
1248,2019-03-05 14:13:49,17.182,0.011912136760220366,2.8035221906
1249,2019-03-05 14:14:05,42.67,0.029130791654140672,4.4298509894
1322,2019-03-05 14:22:19,17.686,0.01225261863665382,2.8594672081
1372,2019-03-05 14:28:58,144.838,0.09815133203400765,5.7296589031
1390,2019-03-05 14:33:05,18.005,0.012468122046539278,2.9004042083
1400,2019-03-05 14:33:45,37.989,0.025968498670837115,4.254950133
1421,2019-03-05 14:35:16,48.22,0.03288014565058047,4.6068143185
1423,2019-03-05 14:35:23,34.874,0.023864131517880364,4.1223138775
1430,2019-03-05 14:35:59,25.323,0.017411864847610713,3.5484299792
1436,2019-03-05 14:36:26,694.009,0.4691488966428081,6.4115713536
1466,2019-03-05 14:39:59,14.89,0.010363754893582525,2.5354124707
1481,2019-03-05 14:41:15,18.009,0.01247082428365383,2.9007791844
1482,2019-03-05 14:41:32,19.656,0.013583470415570289,3.0807326627
1564,2019-03-05 14:48:16,22.765,0.015683784212855215,3.3512342877
1659,2019-03-05 15:00:01,11.27,0.00791823030491368,2.040836151
1734,2019-03-05 15:07:53,17.709,0.012268156500062488,2.8616225524
1762,2019-03-05 15:11:00,22.417,0.015448689583889263,3.3238272112
1827,2019-03-05 15:14:35,101.466,0.06885097500092889,5.4325078044
1839,2019-03-05 15:15:05,80.373,0.054601403136621735,5.2052422784
1864,2019-03-05 15:16:09,15.299,0.010640058638545386,2.5891930993
1968,2019-03-05 15:20:27,19.5,0.013478083168102792,3.064046261
1992,2019-03-05 15:22:05,17.828,0.012348548054220388,2.8803765657
2031,2019-03-05 15:26:02,16.802,0.011655424234338003,2.7647319765
2103,2019-03-05 15:29:26,28.841,0.019788482389858503,3.7956817813
2105,2019-03-05 15:29:31,47.059,0.03209582132808198,4.5700689082
2197,2019-03-05 15:34:12,27.896,0.01915007887154578,3.7344001491
2200,2019-03-05 15:34:18,47.301,0.03225930667351234,4.5792292057
2212,2019-03-05 15:35:04,30.583,0.02096530665324555,3.9010705744
2240,2019-03-05 15:36:31,40.492,0.027659423545267535,4.3504376657
2253,2019-03-05 15:37:44,42.957,0.02932467716710972,4.4399186473
2255,2019-03-05 15:37:53,31.309,0.021455762689536598,3.9425447361
2292,2019-03-05 15:39:57,12.965,0.009063303282204756,2.2620639937
2293,2019-03-05 15:39:59,35.695,0.024418765685642,4.1583567584
2294,2019-03-05 15:40:02,16.932,0.011743246940560916,2.7775451916
2298,2019-03-05 15:40:33,32.65,0.02236168768218989,4.0083298989
2328,2019-03-05 15:42:56,13.926,0.009712515748975683,2.3941553165
2340,2019-03-05 15:44:19,12.854,0.00898831620227596,2.2490443934
2345,2019-03-05 15:44:35,35.449,0.024252578103097097,4.1480818316
