Combined_frozenset,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'<No Rights>', 'GB-TON01'})",0.007877242509789637,0.007877242509789637,0.0025498588470995354,0.596551724137931,75.73103448275862,0.002516188914230996,inf
"frozenset({'HPMS.AAA', '_PMO+RM', 'FR-TLS02'})",0.05901101903287497,0.059011019032874965,0.010290501775794554,0.35928575056858975,5.834916571650886,0.008323182525842233,5.212334827586612
"frozenset({'HPMS.AAA', 'FR-TLS02', '_Program Manager'})",0.06588653128130406,0.06588653128130408,0.0326928330753119,0.6059897347300707,9.714033562118338,0.029100135135021944,3.721155464506303
"frozenset({'_Program Manager', 'FR-TLS02', 'HPMS.IDA'})",0.18595756306347327,0.18595756306347327,0.0012749294235497677,0.5017199017199018,2.698034398034398,0.0008023893312223336,inf
"frozenset({'HPMS.SEN', 'FR-TLS02', '_Program Manager'})",0.10700300519078408,0.10700300519078407,0.0013659958109461798,0.30538599900847213,3.2939798855843634,0.0009372680967824141,inf
"frozenset({'GB-EKB02', 'HPMS.CBS', '_PM+RM'})",0.07358164101630088,0.07358164101630087,0.008469174027866315,0.3835068005566676,8.432612470039983,0.006938726303426751,1.9710476333693192
"frozenset({'GB-EKB02', 'HPMS.CBS', '_Resource Manager'})",0.019548917827763107,0.019548917827763107,0.0016391949731354159,0.3731271259775106,23.235032678599293,0.0015104530918912758,inf
"frozenset({'GB-EKB02', 'HPMS.Kechichian, Kevork - NXF53803', '_PM+RM'})",0.06596241993746775,0.06596241993746774,0.004917584919406247,0.3290706922007413,10.718584202268547,0.004043816989119993,1.7404639800139148
"frozenset({'GB-EKB02', 'HPMS.Kechichian, Kevork - NXF53803', '_Program Manager'})",0.0197386394681723,0.0197386394681723,0.0010927966487569438,0.10431271569016018,5.145668554912177,0.0008757126591674548,1.1041978832775294
"frozenset({'GB-EKB02', 'HPMS.STI', '_Program Manager'})",0.1869137601311356,0.1869137601311356,0.0031873235588744196,0.5042997542997543,2.698034398034398,0.002005973328055834,inf
"frozenset({'HPMS.AAA', '_Program Manager', 'IN-BLR01-s1'})",0.18755122484291048,0.18755122484291048,0.004097987432838539,0.4647119289976433,2.4777866920724065,0.00244409710969252,4.358162786540955
"frozenset({'HPMS.STI', '_PM+RM', 'FR-MGI01'})",0.13186412895000457,0.13186412895000454,0.010927966487569439,0.31122098632750994,2.414414597398771,0.006349560529835704,1.4213090090948401
"frozenset({'HPMS.AAA', '_PMO+RM', 'NL-HTC01-s1'})",0.08478280666605957,0.08478280666605954,0.013022493397686912,0.3647583581657148,4.231456196004918,0.009868543984914454,inf
"frozenset({'HPMS.AAA', '_PM+RM', 'US-CHD01'})",0.05108824332938713,0.051088243329387134,0.01010836900100173,0.4352603163294473,10.422246381537047,0.008805226495772464,2.603363645656664
"frozenset({'HPMS.AAA', '_PMO+RM', 'US-CHD01'})",0.06222110918859849,0.062221109188598495,0.006465713505145251,0.1575908292775104,2.501100562551606,0.0038605895268545957,1.1272084996725296
"frozenset({'HPMS.AAA', '_Program Manager', 'US-CHD01'})",0.061492578089427194,0.0614925780894272,0.0065567798925416625,0.18638759339137728,2.9463204086243286,0.004194742877857566,1.1969208581360968
"frozenset({'HPMS.AAA', '_Resource Manager', 'US-CHD01'})",0.04528276113286586,0.04528276113286586,0.0011838630361533558,0.2533392850173672,6.656076815751472,0.0009695364979625834,1.4030820760918832
"frozenset({'IN-HYD02', 'HPMS.AMP', '_PM+RM'})",0.05612725009865525,0.05612725009865524,0.0017302613605318276,0.49594369821175444,44.35180647958153,0.0015105636663834549,inf
"frozenset({'HPMS.AMP', '_PM+RM', 'IN-NDA02'})",0.06189478796709467,0.06189478796709467,0.009744103451416082,0.6114273641425696,31.080660405992756,0.008599007832220723,8.494667389067798
"frozenset({'HPMS.AMP', '_PM+RM', 'US-AUS01'})",0.08236954740005463,0.08236954740005463,0.0014570621983425918,0.23605717191611647,6.034613717489309,0.001065761185419151,1.3863924287253926
"frozenset({'HPMS.CBS', '_PM+RM', 'NL-HTC01-s1'})",0.04733175484928513,0.04733175484928513,0.011110099262362262,0.2945500359774238,6.594091400993963,0.009163529315867351,1.4239364053613728
"frozenset({'HPMS.CBS', '_Program Manager', 'NL-HTC01-s1'})",0.04491849558328021,0.044918495583280205,0.009926236226208906,0.2892360455280342,6.42693026214475,0.008375511904265998,1.4012177639490204
"frozenset({'HPMS.IDA', '_PM+RM', 'IN-BLR01-s1'})",0.1117839905290957,0.1117839905290957,0.005463983243784719,0.3957533487600771,4.025660842149956,0.0039566234733121545,2.2588168542207607
"frozenset({'HPMS.AAA', '_PMO+RM', 'NL-NYM01-s1'})",0.09179491849558329,0.09179491849558329,0.015481285857390037,0.2784594740231365,3.1042582771842997,0.010449325447636021,1.3446142650677357
"frozenset({'NL-HTC01-s1', 'HPMS.IDA', '_PM+RM'})",0.04020581003551589,0.04020581003551589,0.0012749294235497677,0.08925373996418876,2.21992144631202,0.000700616568620679,1.0576141025095491
"frozenset({'HPMS.OPS', '_PM+RM', 'FR-MGI01'})",0.06180372157969827,0.06180372157969827,0.0012749294235497677,0.24351439088300797,6.195243190307721,0.000987822754606704,inf
"frozenset({'HPMS.Kechichian, Kevork - NXF53803', '_PM+RM', 'FR-MGI01'})",0.06578028716267492,0.06578028716267492,0.0015481285857390037,0.20736827051450624,3.7819606672489336,0.0010864717878042987,1.9855185665535335
"frozenset({'CN-SHA01-s1', 'HPMS.STI', '_Program Manager'})",0.14167653219196794,0.14167653219196796,0.010654767325380203,0.43871521877515884,3.5280909744765276,0.007358534802615119,10.210395692767218
"frozenset({'HPMS.MICR', '_Program Manager', 'CN-SHA02'})",0.08362929909237167,0.08362929909237167,0.012476095073308442,0.59870210002293,17.3633740705289,0.010507891227418688,inf
"frozenset({'HPMS.AAA', 'CN-TNJ02', '_Program Manager'})",0.09272076010078013,0.09272076010078013,0.0020945269101174755,0.44285834285525766,7.627484592027167,0.0016704295028137101,inf
"frozenset({'HPMS.MICR', 'CN-TNJ03', '_Program Manager'})",0.08094284066417752,0.0809428406641775,0.007376377379109371,0.5591868006427211,17.71455546448018,0.006233086888498836,inf
"frozenset({'CORP.SSC-HRM', 'US-AUS01', '_PM+RM+Portfolio'})",0.015390219469993626,0.015390219469993624,0.0027319916218923597,0.7122271098077549,155.49135550790598,0.002655360734449931,inf
"frozenset({'DE-DRS01-s1', '_PM+RM', 'HPMS.IDA'})",0.059041374495340436,0.059041374495340436,0.0010017302613605317,0.47446263839754316,44.75813931329546,0.0008657264003425288,inf
"frozenset({'DE-HBG02', 'HPMS.CBS', '_PM+RM'})",0.08850135081807971,0.08850135081807971,0.010745833712776614,0.30204521915486077,3.9844715728830713,0.00774820069523546,1.6946584952004298
"frozenset({'DE-HBG02', '_Program Manager', 'HPMS.IDA'})",0.09398051179309717,0.09398051179309717,0.005190784081595483,0.24387924872160613,2.940770744716865,0.0032395340697190917,2.0066036613919622
"frozenset({'DE-HBG02', '_Program Manager', 'HPMS.OPS'})",0.09096014327778283,0.09096014327778285,0.012476095073308442,0.45886420634482583,8.912499087575734,0.010103865854807737,4.465782440386281
"frozenset({'DE-HBG02', 'HPMS.SEN', '_PMO+RM'})",0.06535531068815832,0.06535531068815834,0.011565431199344322,0.463744861220283,10.333189481115879,0.009974184090380074,5.703823255770964
"frozenset({'HPMS.MICR', '_Program Manager', 'FR-MGI01'})",0.11123759220471724,0.11123759220471723,0.0010927966487569438,0.24022116251823777,2.1617967365387676,0.0005872915359486119,1.561505152762625
"frozenset({'DE-HBG02', '_PMO+RM', 'HPMS.STI'})",0.06065021400601038,0.06065021400601038,0.00965303706401967,0.20354347167961706,3.3560223160868996,0.006776704264399002,1.1921458238710279
"frozenset({'DE-HBG02', '_PMO+RM', 'T&O.SSC-GTI'})",0.07146434750933431,0.0714643475093343,0.0022766596849103,0.179317755853944,2.6542599499858297,0.0014118482884905533,1.205052196252649
"frozenset({'DE-HBG02', '_PMO+RM', 'T&O.TO-PT'})",0.08016118750569165,0.08016118750569164,0.0011838630361533558,0.2783254451690534,3.206630938747265,0.000799192346217205,2.2509907248562095
"frozenset({'HPMS.CBS', 'DE-MUC02', '_PM+RM'})",0.07194244604316546,0.07194244604316546,0.0035515891084600677,0.29003537190507706,5.19630865443278,0.0027515356633850178,2.6459897175676486
"frozenset({'DE-MUC02', 'HPMS.STI', '_Program Manager'})",0.1607018182922017,0.16070181829220168,0.014024223659047446,0.4331502971274208,3.003698894791493,0.008936022298208827,6.768915551251297
"frozenset({'_PMO+RM', 'HPMS.Kechichian, Kevork - NXF53803', 'FR-CFR02-s1'})",0.056946847585222955,0.056946847585222955,0.006465713505145251,0.3879502277071652,12.258077722379015,0.005285289335698665,inf
