Combined_frozenset,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'CN-SZH02', '6_or_more'})",0.19961590600994125,0.19961590600994125,0.0014309383943364965,0.4148434024745869,2.0782081486729167,0.0007423940850235664,2.2331257863315876
"frozenset({'4_to_6', 'DE-HBG02', 'HPMS.STI', '<No Rights>'})",0.062189335743334836,0.062189335743334836,0.001205000753125471,0.19917326921959044,3.341477028728553,0.0008398996708459402,1.4569318883991915
"frozenset({'4_to_6', 'AT-GRK01-s1', 'HPMS.STI', '<No Rights>'})",0.08055304513731988,0.08055304513731987,0.008435005271878295,0.3455162903262263,4.433955181901393,0.006477604116126964,2.008012593451164
"frozenset({'4_to_6', 'AT-GRK01-s1', 'HPMS.CBS', '<No Rights>'})",0.030991113119445694,0.030991113119445694,0.001205000753125471,0.2514732106021914,10.004422246593636,0.0010344660647455884,inf
"frozenset({'US-CHD01', '_PM+RM', 'T&O.TO-PT'})",0.06732941708088568,0.06732941708088568,0.0033137520710950445,0.24078944493279258,3.399315971821566,0.0023065219077608584,1.4504926562967126
"frozenset({'_Resource Manager', 'T&O.TO-PT', 'US-AUS01'})",0.05229201184917407,0.05229201184917407,0.0031631269769543603,0.31452918149356673,7.192947098911901,0.002663007725470857,7.003262380974764
"frozenset({'US-AUS01', '_Resource', 'T&O.TO-PT'})",0.05246774112567154,0.05246774112567154,0.0021087513179695737,0.25316704414609353,5.108684991129611,0.0016909627431624039,1.5499149124851224
"frozenset({'US-AUS01', '_PM+RM', 'T&O.TO-PT'})",0.0732602801626751,0.0732602801626751,0.00391625244765778,0.19510906538557746,2.6523632414746334,0.0024391129422984287,1.1959172024591693
"frozenset({'T&O.TO-FO', '_PMO+RM', 'US-CHD01'})",0.18982527489079679,0.18982527489079679,0.001882813676758548,0.5024920255183413,2.647129186602871,0.0011715474165822507,inf
"frozenset({'T&O.TO-FO', 'US-AUS02', '_PMO+RM'})",0.07374353567304313,0.07374353567304312,0.00783250489531556,0.627508839438664,33.204990928499704,0.006729059048886287,inf
"frozenset({'T&O.TO-FO', 'US-AUS01', '_PMO+RM'})",0.19012652507907818,0.19012652507907818,0.0024853140533212833,0.5032894736842105,2.647129186602871,0.0015464425898885708,inf
"frozenset({'_PMO+RM', 'US-AUS01', 'T&O.SSC-GTI'})",0.10044183360947934,0.10044183360947932,0.004669377918361199,0.23751502322437734,2.5340394158074937,0.0027394357618912893,1.4557867573496166
"frozenset({'SG-SGP01-s4', '_Program Manager', 'T&O.SSC-GTI'})",0.06781894863684289,0.0678189486368429,0.0039915649947281215,0.563304823125012,32.86981433399095,0.0034657989414921147,inf
"frozenset({'_Program Manager', 'RU-MOW02', 'T&O.TO-PT'})",0.10747100466937791,0.10747100466937791,0.014761259225787015,0.5022405097918922,6.366031599246541,0.011456018905631136,inf
"frozenset({'RU-MOW02', '_PM+RM', 'T&O.TO-PT'})",0.05025229703268565,0.05025229703268565,0.001882813676758548,0.31192541303001176,6.6778858352347985,0.0015978108744602345,inf
"frozenset({'The Support IT.A Support PMO', '_Core Team Support User', 'NXP-REMOTE'})",0.037919867449917155,0.037919867449917155,0.03758096098810062,0.9911417322834647,26.137795275590552,0.03614315949827119,inf
"frozenset({'_PMO+RM', 'NL-NYM01-s1', 'T&O.TO-PT'})",0.13831149269468293,0.13831149269468293,0.012275945172465733,0.29908595343207034,2.1422970619045008,0.006542798796660003,1.7099008682170553
"frozenset({'T&O.TO-FO', '_PMO+RM', 'NL-NYM01-s1'})",0.09887282221218056,0.09887282221218056,0.008133755083596927,0.33146886743539883,4.258223107537925,0.0059387991267843485,3.944163626353049
"frozenset({'HPMS.STI', '_PM+RM', 'IN-BLR01-s1'})",0.11900637646231864,0.11900637646231861,0.04285283928302455,0.49942216657746114,4.361261844944193,0.0327168394264727,2.9932897051095413
"frozenset({'HPMS.STI', '_Program Manager', 'IN-BLR01-s1'})",0.11583069739418587,0.11583069739418587,0.017849073655671035,0.25332723664438167,2.2459621221143067,0.009823417998067487,1.2278900722075186
"frozenset({'HPMS.STI', '_PM+RM', 'US-SAN03'})",0.08694833559270976,0.08694833559270974,0.001205000753125471,0.41330586872029884,5.438737970906047,0.0009583944177192103,inf
"frozenset({'HPMS.STI', '_PM+RM', 'US-SJO01-s1'})",0.08743786714866697,0.08743786714866697,0.0017321885826178643,0.3866893463475895,4.719741265716038,0.0013518407461155088,3.5404720186949006
"frozenset({'_Program Manager', 'T&O.TO-PT', 'IN-BLR01-s1'})",0.14072149420093388,0.14072149420093388,0.01174875734297334,0.33772162756223206,2.3257898493309366,0.00663348524483248,2.4898902700674124
"frozenset({'_Resource Manager', 'T&O.TO-PT', 'IN-BLR01-s1'})",0.048576592860370534,0.04857659286037055,0.0012803133001958126,0.17629242774952492,4.295539077208108,0.000915211745251303,1.2880578245139696
"frozenset({'4_to_6', '<No Rights>', 'NL-NYM01-s1', 'T&O.TO-PT'})",0.04223151076969423,0.042231510769694225,0.0010543756589847869,0.2044825716024149,4.788962648392188,0.0008232954228038527,1.4483957244899681
"frozenset({'_PM+RM', 'IN-NDA02', 'T&O.TO-PT'})",0.06337550835969273,0.06337550835969273,0.004066877541798464,0.2845148723562751,8.56592856751273,0.0031451959583166365,1.4384795665614327
"frozenset({'_Program Manager', 'MX-GDL01', 'T&O.TO-PT'})",0.11373449816739467,0.11373449816739467,0.02861876788672993,0.5949693333277613,7.029716777012257,0.022852136033162416,inf
"frozenset({'_PMO+RM', 'T&O.TO-PT', 'MY-KUL01'})",0.05804714565446604,0.05804714565446604,0.001732188582617864,0.3189943896200675,5.087501469216791,0.001380735701602681,inf
"frozenset({'T&O.SSC-GTI', '_PMO+RM', 'NL-HTC01-s1'})",0.08938344128131746,0.08938344128131748,0.006401566500979062,0.302150328812038,4.887491232697458,0.00475981196343497,1.7326760434059159
"frozenset({'_PMO+RM', 'NL-HTC01-s1', 'T&O.TO-PT'})",0.08250489531555957,0.08250489531555957,0.02349751468594668,0.3821335248108267,4.897049558201109,0.01843630506275694,1.601758854203685
"frozenset({'_Program Manager', 'NL-HTC01-s1', 'T&O.TO-PT'})",0.08446302153938846,0.08446302153938846,0.015589697243560777,0.3085830811871715,3.5656115044140555,0.011013838927255295,1.6025593770765354
"frozenset({'_Program Manager', 'T&O.SSC-GTI', 'NL-NYM01-s1'})",0.09017422302555606,0.09017422302555604,0.009489380930863081,0.38204548454314863,6.13039664944755,0.0074684261873852855,3.584381601475396
"frozenset({'_Program Manager', 'T&O.TO-PT', 'IN-NDA02'})",0.08483958427474017,0.08483958427474017,0.0022593764121102574,0.43533427798531493,5.131263686719052,0.0018190606244110072,3.4208682325067667
"frozenset({'4_to_6', 'HPMS.AAA', '_PMO+RM', 'AT-GRK01-s1'})",0.1160378068986293,0.1160378068986293,0.008886880554300347,0.2741153776682672,2.259931982158887,0.004915764464552294,10.275449076326286
"frozenset({'4_to_6', 'AT-GRK01-s1', 'HPMS.CBS', '_PM+RM'})",0.03195762414018175,0.03195762414018175,0.0011296882060551287,0.08586067534282887,2.59585511743832,0.0006912649689312014,1.0679428860390432
"frozenset({'4_to_6', 'AT-GRK01-s1', 'HPMS.OPS', '_Program Manager'})",0.07983129989456242,0.07983129989456243,0.0021087513179695737,0.2500609770899056,3.631313125217657,0.0014947963783093422,1.6747720208702586
"frozenset({'4_to_6', 'DE-HBG02', '_PMO+RM', 'T&O.SSC-GTI'})",0.0605512878445549,0.0605512878445549,0.0013556258472661544,0.1312913909713605,2.2706965905782908,0.0007565865127445642,1.2195016747561342
"frozenset({'4_to_6', 'DE-HBG02', '_PMO+RM', 'T&O.TO-PT'})",0.12308580609529547,0.12308580609529547,0.00436812773007983,0.3205340619778642,2.504436912827071,0.0025791890994410955,2.820692360953354
"frozenset({'4_to_6', 'HPMS.STI', 'DE-MUC02', '_PM+RM'})",0.07062434101521314,0.07062434101521313,0.0013556258472661542,0.22458345630038112,3.4738513142264833,0.0009463981805559498,1.3195823690022852
"frozenset({'4_to_6', '_Program Manager', 'HPMS.STI', 'DE-MUC02'})",0.0702760204850128,0.07027602048501282,0.0014309383943364967,0.2709925774493062,4.244707226240852,0.0010772932931493989,2.918926513934794
"frozenset({'4_to_6', '_PMO+RM', 'HPMS.Kechichian, Kevork - NXF53803', 'FR-CFR02-s1'})",0.013179695737309836,0.013179695737309838,0.0018828136767585477,0.31809875322625625,26.542381235228287,0.001774778060537312,inf
"frozenset({'4_to_6', 'HPMS.Kechichian, Kevork - NXF53803', '_Program Manager', 'FR-CFR02-s1'})",0.013989305618316012,0.013989305618316012,0.002033438770899232,0.21783819575128058,15.81782862085745,0.0018948425278053492,1.3178767872414476
"frozenset({'4_to_6', 'DE-HBG02', '_PMO+RM', 'HPMS.STI'})",0.05416854948034343,0.05416854948034342,0.008209067630667269,0.15769871983503284,2.912780036501866,0.005388947956885966,1.1239635888424824
"frozenset({'4_to_6', 'HPMS.STI', '_PM+RM', 'FR-CFR02-s1'})",0.07643595923080786,0.07643595923080786,0.005196565747853593,0.2262463907603659,3.097513214045391,0.003490075960135905,1.299016513737931
"frozenset({'4_to_6', 'HPMS.STI', '_PM+RM', 'FR-MGI01'})",0.07272054024200432,0.07272054024200432,0.002560626600391625,0.20685684864057718,3.0438210799862624,0.0016836581785792271,1.246222609381236
"frozenset({'4_to_6', 'HPMS.STI', '_Program Manager', 'FR-MGI01'})",0.06913691821057388,0.06913691821057388,0.002184063865039915,0.21949146228205452,3.2612950436542874,0.0015088732867095083,1.486631990105378
"frozenset({'4_to_6', 'HPMS.AAA', '_PMO+RM', 'FR-TLS02'})",0.04652432595270373,0.04652432595270372,0.009112818195511373,0.279616315800659,5.996286926542118,0.0075177298713293254,1.4593592773896515
"frozenset({'4_to_6', 'HPMS.AAA', 'FR-TLS02', '_Program Manager'})",0.03902131345082091,0.03902131345082091,0.00783250489531556,0.31673147355260806,8.740619221093503,0.006800085469928401,1.5889931178097643
"frozenset({'4_to_6', '_PMO+RM', 'FR-TLS02', 'HPMS.RPS'})",0.03817404729627956,0.03817404729627956,0.0033137520710950436,0.11191418705064356,2.9612035220460884,0.0021412446719407457,1.0872599927006885
"frozenset({'4_to_6', 'FR-TLS02', '_Program Manager', 'HPMS.RPS'})",0.03493246974946026,0.03493246974946026,0.002410001506250942,0.1089160121374357,3.1475341222075386,0.0016263570031930146,1.088141427832528
"frozenset({'4_to_6', 'HPMS.STI', '_Program Manager', 'FR-CFR02-s1'})",0.07630102425064016,0.07630102425064017,0.005271878294923934,0.2410754343840111,3.410965401380055,0.0036868449728370022,1.3472920249530993
"frozenset({'HPMS.SIP', '_PM+RM', 'US-CHD01'})",0.05509112818195511,0.055091128181955114,0.005573128483205302,0.34273864161372297,7.037041700416997,0.004708132665307222,1.9191700100392601
"frozenset({'4_to_6', 'DE-HBG02', 'HPMS.STI', '_PM+RM'})",0.09247125571120147,0.0924712557112015,0.00436812773007983,0.22857993332700852,2.4470345054685154,0.0025516970136111555,1.2824299138306323
"frozenset({'4_to_6', 'DE-HBG02', 'HPMS.OPS', '_Program Manager'})",0.061298137269669116,0.06129813726966912,0.00512125320078325,0.34457810792446847,11.641367287401403,0.004242692843322078,1.8131672933495713
"frozenset({'4_to_6', 'AT-GRK01-s1', 'HPMS.STI', '_PM+RM'})",0.11379725862328664,0.11379725862328664,0.014460009037505649,0.4282309613081094,3.837993743070095,0.01065922108154172,3.0353782831795852
"frozenset({'4_to_6', 'AT-GRK01-s1', '_PMO+RM', 'HPMS.STI'})",0.11214038258773912,0.1121403825877391,0.03667721042325651,0.45700940880605995,4.295747961559309,0.02750217628190883,2.147143550061858
"frozenset({'4_to_6', 'AT-GRK01-s1', 'HPMS.STI', '_Program Manager'})",0.108148817593011,0.108148817593011,0.024476577797861124,0.36942970176564316,3.408280150503862,0.017225259397216933,2.0116512038216188
