,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'CN-SZH02'}),frozenset({'6_or_more'}),0.001732188582617864,0.39749962343726464,0.0014309383943364965,0.8260869565217391,2.0782081486729163,0.0007423940850235664,3.4643771652357285
1,frozenset({'6_or_more'}),frozenset({'CN-SZH02'}),0.39749962343726464,0.001732188582617864,0.0014309383943364965,0.0035998484274346347,2.0782081486729167,0.0007423940850235664,1.0018744074274468
2,frozenset({'6_or_more'}),frozenset({'GB-TON01'}),0.39749962343726464,0.0014309383943364965,0.0012050007531254707,0.0030314513073133767,2.1185058136056325,0.0006362032802147893,1.001605379542891
3,frozenset({'GB-TON01'}),frozenset({'6_or_more'}),0.0014309383943364965,0.39749962343726464,0.0012050007531254707,0.8421052631578948,2.1185058136056325,0.0006362032802147893,3.815835718230659
4,frozenset({'<No Rights>'}),frozenset({'AT-GRK01-s1'}),0.024777827986142493,0.1489682181051363,0.013556258472661545,0.547112462006079,3.672679105417956,0.009865149589050319,1.8791238674054371
5,frozenset({'AT-GRK01-s1'}),frozenset({'<No Rights>'}),0.1489682181051363,0.024777827986142493,0.013556258472661545,0.0910010111223458,3.672679105417956,0.009865149589050319,1.0728528677660791
6,frozenset({'<No Rights>'}),frozenset({'GB-TON01'}),0.024777827986142493,0.0014309383943364965,0.0014309383943364965,0.05775075987841945,40.35866261398176,0.0013954828489428598,1.0597716815105267
7,frozenset({'GB-TON01'}),frozenset({'<No Rights>'}),0.0014309383943364965,0.024777827986142493,0.0014309383943364965,1.0,40.358662613981764,0.0013954828489428598,inf
8,frozenset({'<No Rights>'}),frozenset({'HPMS.STI'}),0.024777827986142493,0.2590751619219762,0.016267510167193855,0.6565349544072948,2.5341485827383896,0.009848190369609114,2.1572059444926532
9,frozenset({'HPMS.STI'}),frozenset({'<No Rights>'}),0.2590751619219762,0.024777827986142493,0.016267510167193855,0.0627906976744186,2.534148582738389,0.009848190369609114,1.040559637632652
10,frozenset({'<No Rights>'}),frozenset({'MY-KUL01'}),0.024777827986142493,0.007380629612893508,0.0035396897123060704,0.14285714285714285,19.355685131195333,0.0033568137413283656,1.1580559321182908
11,frozenset({'MY-KUL01'}),frozenset({'<No Rights>'}),0.007380629612893508,0.024777827986142493,0.0035396897123060704,0.4795918367346939,19.355685131195337,0.0033568137413283656,1.873956330536432
12,frozenset({'AT-GRK01-s1'}),frozenset({'HPMS.STI'}),0.1489682181051363,0.2590751619219762,0.12584726615454134,0.8447927199191102,3.2608016671761466,0.08725330092772488,4.773776318300753
13,frozenset({'HPMS.STI'}),frozenset({'AT-GRK01-s1'}),0.2590751619219762,0.1489682181051363,0.12584726615454134,0.4857558139534883,3.260801667176147,0.08725330092772488,1.6549176538826065
14,frozenset({'HPMS.SIP'}),frozenset({'BE-LEU01-s1'}),0.05241753276095797,0.013857508660942913,0.013782196113872571,0.2629310344827586,18.97390367316342,0.013055819699652338,1.3379243157348613
15,frozenset({'BE-LEU01-s1'}),frozenset({'HPMS.SIP'}),0.013857508660942913,0.05241753276095797,0.013782196113872571,0.9945652173913044,18.97390367316342,0.013055819699652338,174.35517397198652
16,frozenset({'HPMS.MICR'}),frozenset({'CN-BJS01'}),0.1016719385449616,0.0012803133001958126,0.0012803133001958126,0.012592592592592593,9.835555555555556,0.001150141365020007,1.0114565469202819
17,frozenset({'CN-BJS01'}),frozenset({'HPMS.MICR'}),0.0012803133001958126,0.1016719385449616,0.0012803133001958126,1.0,9.835555555555555,0.001150141365020007,inf
18,frozenset({'CN-BJS01'}),frozenset({'_PM+RM'}),0.0012803133001958126,0.16885073053170657,0.0010543756589847869,0.8235294117647058,4.877262947998111,0.0008381938229372638,4.709845860320328
19,frozenset({'_PM+RM'}),frozenset({'CN-BJS01'}),0.16885073053170657,0.0012803133001958126,0.0010543756589847869,0.006244424620874219,4.877262947998111,0.0008381938229372638,1.0049953041207187
20,frozenset({'HPMS.RPS'}),frozenset({'CN-CDU01'}),0.07478535924084953,0.011146256966410605,0.011146256966410605,0.14904330312185296,13.371601208459213,0.010312680134986766,1.1620494282039695
21,frozenset({'CN-CDU01'}),frozenset({'HPMS.RPS'}),0.011146256966410605,0.07478535924084953,0.011146256966410605,1.0,13.371601208459214,0.010312680134986766,inf
22,frozenset({'_Program Manager'}),frozenset({'CN-CDU01'}),0.3487724054827534,0.011146256966410605,0.010845006778129237,0.031094795940401647,2.789707435788196,0.006957499923825313,1.020588741695688
23,frozenset({'CN-CDU01'}),frozenset({'_Program Manager'}),0.011146256966410605,0.3487724054827534,0.010845006778129237,0.972972972972973,2.789707435788196,0.006957499923825313,24.09542099713817
24,frozenset({'HPMS.SIP'}),frozenset({'CN-SHA01-s1'}),0.05241753276095797,0.01762313601446001,0.005422503389064619,0.10344827586206898,5.870026525198939,0.004498742079675842,1.0957280405992562
25,frozenset({'CN-SHA01-s1'}),frozenset({'HPMS.SIP'}),0.01762313601446001,0.05241753276095797,0.005422503389064619,0.3076923076923077,5.87002652519894,0.004498742079675842,1.3687302304563942
26,frozenset({'HPMS.STI'}),frozenset({'CN-SHA01-s1'}),0.2590751619219762,0.01762313601446001,0.011899382437114024,0.045930232558139536,2.606246273106738,0.007333665620594786,1.029669839156081
27,frozenset({'CN-SHA01-s1'}),frozenset({'HPMS.STI'}),0.01762313601446001,0.2590751619219762,0.011899382437114024,0.6752136752136751,2.6062462731067377,0.007333665620594786,2.2812685803981254
28,frozenset({'_Program Manager'}),frozenset({'CN-SHA01-s1'}),0.3487724054827534,0.01762313601446001,0.012501882813676759,0.03584538976462967,2.0339960910032167,0.006355419273763797,1.0188997216387539
29,frozenset({'CN-SHA01-s1'}),frozenset({'_Program Manager'}),0.01762313601446001,0.3487724054827534,0.012501882813676759,0.7094017094017093,2.0339960910032167,0.006355419273763797,2.2409890752505244
30,frozenset({'HPMS.MICR'}),frozenset({'CN-SHA02'}),0.1016719385449616,0.01656876035547522,0.016267510167193855,0.16,9.656727272727274,0.014582932182565782,1.1707514757672914
31,frozenset({'CN-SHA02'}),frozenset({'HPMS.MICR'}),0.01656876035547522,0.1016719385449616,0.016267510167193855,0.9818181818181819,9.656727272727274,0.014582932182565782,49.4080433800274
32,frozenset({'_Program Manager'}),frozenset({'CN-SHA02'}),0.3487724054827534,0.01656876035547522,0.01453532158457599,0.04167566400345498,2.5153157574448874,0.008756595179529618,1.0261987541220807
33,frozenset({'CN-SHA02'}),frozenset({'_Program Manager'}),0.01656876035547522,0.3487724054827534,0.01453532158457599,0.8772727272727273,2.5153157574448874,0.008756595179529618,5.306298918288677
34,frozenset({'HPMS.MICR'}),frozenset({'CN-SZH02'}),0.1016719385449616,0.001732188582617864,0.0013556258472661546,0.013333333333333334,7.697391304347827,0.001179510876145947,1.0117579169770765
35,frozenset({'CN-SZH02'}),frozenset({'HPMS.MICR'}),0.001732188582617864,0.1016719385449616,0.0013556258472661546,0.7826086956521741,7.6973913043478275,0.001179510876145947,4.13230908269318
36,frozenset({'CN-SZH02'}),frozenset({'_Program Manager'}),0.001732188582617864,0.3487724054827534,0.0015062509414068383,0.8695652173913043,2.493216790438726,0.0009021113626974447,4.992744891298889
37,frozenset({'_Program Manager'}),frozenset({'CN-SZH02'}),0.3487724054827534,0.001732188582617864,0.0015062509414068383,0.004318721658389117,2.493216790438726,0.0009021113626974447,1.0025977520437859
38,frozenset({'HPMS.AAA'}),frozenset({'CN-TNJ02'}),0.09549630968519356,0.0021840638650399155,0.0015062509414068383,0.015772870662460567,7.221799195039704,0.0012976809021787458,1.0138065761371229
39,frozenset({'CN-TNJ02'}),frozenset({'HPMS.AAA'}),0.0021840638650399155,0.09549630968519356,0.0015062509414068383,0.6896551724137931,7.221799195039704,0.0012976809021787458,2.914511891014377
40,frozenset({'HPMS.MICR'}),frozenset({'CN-TNJ03'}),0.1016719385449616,0.020560325350203343,0.016116885073053172,0.15851851851851853,7.709922669922671,0.014026476937582882,1.1639467964588253
41,frozenset({'CN-TNJ03'}),frozenset({'HPMS.MICR'}),0.020560325350203343,0.1016719385449616,0.016116885073053172,0.783882783882784,7.709922669922671,0.014026476937582882,4.156670521647891
42,frozenset({'CN-TNJ03'}),frozenset({'_Program Manager'}),0.020560325350203343,0.3487724054827534,0.017020635637897272,0.8278388278388278,2.373578915146611,0.009849761507998819,3.7826624107065587
43,frozenset({'_Program Manager'}),frozenset({'CN-TNJ03'}),0.3487724054827534,0.020560325350203343,0.017020635637897272,0.04880155473979702,2.373578915146611,0.009849761507998819,1.029690155119911
44,frozenset({'DE-DRS01-s1'}),frozenset({'HPMS.IDA'}),0.004142190088868805,0.033589395993372496,0.004142190088868805,1.0,29.77130044843049,0.004003056425693968,inf
45,frozenset({'HPMS.IDA'}),frozenset({'DE-DRS01-s1'}),0.033589395993372496,0.004142190088868805,0.004142190088868805,0.1233183856502242,29.77130044843049,0.004003056425693968,1.1359401105380167
46,frozenset({'DE-DRS01-s1'}),frozenset({'_PM+RM'}),0.004142190088868805,0.16885073053170657,0.0027112516945323093,0.6545454545454547,3.876473927499798,0.002011839872025617,2.405958411618745
47,frozenset({'_PM+RM'}),frozenset({'DE-DRS01-s1'}),0.16885073053170657,0.004142190088868805,0.0027112516945323093,0.016057091882247996,3.8764739274997986,0.002011839872025617,1.0121093426204697
48,frozenset({'DE-HBG02'}),frozenset({'HPMS.CBS'}),0.06122910076818798,0.029974393733996085,0.005648441030275644,0.09225092250922509,3.0776576609987205,0.003813135855871455,1.0686054443011668
49,frozenset({'HPMS.CBS'}),frozenset({'DE-HBG02'}),0.029974393733996085,0.06122910076818798,0.005648441030275644,0.18844221105527637,3.07765766099872,0.003813135855871455,1.1567517581865672
50,frozenset({'DE-HBG02'}),frozenset({'HPMS.IDA'}),0.06122910076818798,0.033589395993372496,0.005648441030275644,0.09225092250922509,2.7464299306670195,0.0035917925182548695,1.0646230637633984
51,frozenset({'HPMS.IDA'}),frozenset({'DE-HBG02'}),0.033589395993372496,0.06122910076818798,0.005648441030275644,0.16816143497757846,2.7464299306670195,0.0035917925182548695,1.1285493829040112
52,frozenset({'DE-HBG02'}),frozenset({'HPMS.OPS'}),0.06122910076818798,0.019807199879499925,0.009715318572074107,0.15867158671586715,8.010803530088532,0.008502541534716565,1.1650537229502433
53,frozenset({'HPMS.OPS'}),frozenset({'DE-HBG02'}),0.019807199879499925,0.06122910076818798,0.009715318572074107,0.49049429657794674,8.010803530088532,0.008502541534716565,1.8425130335669144
54,frozenset({'DE-HBG02'}),frozenset({'HPMS.SEN'}),0.06122910076818798,0.021388763367977105,0.009489380930863081,0.15498154981549814,7.245933163556987,0.008179766183298284,1.158094520206455
55,frozenset({'HPMS.SEN'}),frozenset({'DE-HBG02'}),0.021388763367977105,0.06122910076818798,0.009489380930863081,0.4436619718309859,7.2459331635569875,0.008179766183298284,1.687410983429333
56,frozenset({'HPMS.STI'}),frozenset({'DE-MUC02'}),0.2590751619219762,0.005573128483205302,0.004669377918361199,0.01802325581395349,3.2339566310496544,0.003225518754162808,1.012678637660679
57,frozenset({'DE-MUC02'}),frozenset({'HPMS.STI'}),0.005573128483205302,0.2590751619219762,0.004669377918361199,0.8378378378378378,3.233956631049654,0.003225518754162808,4.569036501481146
58,frozenset({'DE-MUC02'}),frozenset({'_PM+RM'}),0.005573128483205302,0.16885073053170657,0.002635939147461967,0.4729729729729729,2.801130747161077,0.00169491233172569,1.5770524600167617
