,Combined_frozenset,antecedent support,consequent support,support,confidence,lift,leverage,conviction,time_elapsed_aggregate
0,"frozenset({'org_HPMS.STI', 'loc_AT-GRK01-s1'})",0.18622973281571134,0.18622973281571134,0.0931719570678237,0.5701917639195928,3.061765461929978,0.0627411620816222,2.324225819291689,"3.38,1.88,3464"
1,"frozenset({'org_HPMS.OPS', 'role__PE+RM'})",0.021922813427723224,0.021922813427723224,0.011418131993605847,0.600675760230259,27.399574521336504,0.011001405376748553,3.4871572285745995,"4.53,2.78,181"
2,"frozenset({'org_HPMS.SIP', 'role__PMO+RM'})",0.11749257821420417,0.11749257821420417,0.01712719799040877,0.31003937007874016,2.6387996143339225,0.010636671806694753,1.3869027551946027,"2.55,1.89,567"
3,"frozenset({'org_T&O.TO-FO', 'role__PMO+RM'})",0.12411509477049555,0.12411509477049555,0.02306462662708381,0.3118559043755894,2.5126347842883274,0.0138851681672597,1.3519989860335495,"2.52,1.76,860"
4,"frozenset({'role__Core Team Support User', 'org_The Support IT.A Support PMO'})",0.05275176981045901,0.05275176981045901,0.029230417903630967,0.6916167664670658,13.110778443113773,0.027000922681020154,inf,"19.7,4.1,248"
5,"frozenset({'role__Core Team User', 'org_The Support IT.A Support PMO'})",0.06165791276547157,0.06165791276547157,0.04681434117378397,0.8044590430788907,13.047133887564677,0.043226247299894695,96.37754186205838,"6.88,4.62,307"
6,"frozenset({'org_HPMS.AAA', 'role__PMO+RM', 'loc_AT-GRK01-s1'})",0.08491284159244882,0.08491284159244882,0.014386846311943367,0.3136573213179025,3.630634982140649,0.010399582817944217,1.7465513228748542,"3.31,2.27,340"
7,"frozenset({'org_HPMS.STI', 'role__PM+RM', 'loc_AT-GRK01-s1'})",0.1470655400776433,0.1470655400776433,0.03493948390043389,0.4785731979192469,3.254149120634134,0.02420258076379298,2.6144732772351347,"3.8,1.72,1337"
8,"frozenset({'org_HPMS.STI', 'loc_AT-GRK01-s1', 'role__PMO+RM'})",0.1286062266879805,0.1286062266879805,0.03882164877825988,0.43208046905632486,3.7991125307603135,0.026048759812861876,1.9611023755306969,"3.92,2.64,837"
9,"frozenset({'org_HPMS.STI', 'loc_AT-GRK01-s1', 'role__Resource Manager'})",0.11012788307832838,0.11012788307832838,0.017355560630280886,0.33906569161877365,3.097058539744263,0.011748446896768665,1.6774518335849367,"2.26,1.52,1175"
10,"frozenset({'org_HPMS.Kechichian, Kevork - NXF53803', 'loc_CN-SZH02', 'role__Resource Manager'})",0.11117454517774226,0.11117454517774226,0.017355560630280886,0.5003166082371713,5.5403557249703335,0.013535436268684142,10.61775841435727,"3.73,2.22,315"
11,"frozenset({'org_HPMS.IDA', 'role__Resource Manager'})",0.2091801781228591,0.2091801781228591,0.051838319250970544,0.49916937938716527,2.3863130047340575,0.030115134091215,2.7399380447666957,"3.27,1.95,977"
12,"frozenset({'org_HPMS.IDA', 'role__Resource Manager', 'loc_DE-HBG02'})",0.10306767146228211,0.10306767146228209,0.022607901347339577,0.44902728323066676,5.9490545182857595,0.017495182212335605,3.20025105575056,"3.71,2.16,333"
13,"frozenset({'org_HPMS.STI', 'role__PM+RM', 'loc_FR-MGI01'})",0.13123239704650985,0.13123239704650985,0.012331582553094314,0.3943273364738649,3.029625540387512,0.00825262286321137,3.0182640613274057,"3.17,2.36,225"
14,"frozenset({'org_HPMS.STI', 'role__PM+RM', 'loc_IN-BLR01-s1'})",0.16917865570525994,0.16917865570526,0.06713861612240236,0.5177630943270138,3.1530185162280895,0.0451479214349775,2.2582401897886215,"3.66,2.37,1122"
15,"frozenset({'org_HPMS.STI', 'loc_IN-BLR01-s1', 'role__Resource Manager'})",0.11007079241836036,0.11007079241836036,0.016898835350536653,0.3044897205026846,2.85601477749862,0.01089661096596458,1.401599138015791,"2.6,1.84,423"
16,"frozenset({'role__PM+RM', 'loc_IN-NDA02', 'org_HPMS.AMP'})",0.08917561087006165,0.08917561087006166,0.015528659511303949,0.41150308456567913,6.284437993476012,0.012346393009756493,2.3229691565967223,"4.33,2.25,295"
17,"frozenset({'org_HPMS.Kechichian, Kevork - NXF53803', 'role__PM+RM', 'loc_IN-NDA02'})",0.07044987440054806,0.07044987440054806,0.015757022151176067,0.3586595314335003,5.983377428914622,0.012270046148652866,1.6654958178394357,"8.53,2.31,274"
